Bars, Displacements, Ultimate - Load case: DeadLoad
Bar	x	ex'	ey'	ez'	φ x'	φ y'	φ z'	Case
[-]	[m]	[m]	[m]	[m]	[°]	[°]	[°]	[-]
B.2.1	1.000	-0.000	0.000	0.002	0.000	-0.084	0.000	IL
B.2.1	1.500	-0.000	0.000	0.002	0.000	-0.080	0.000	IL
B.2.1	2.000	-0.000	0.000	0.003	0.000	-0.076	0.000	IL
B.2.1	2.000	-0.000	0.000	0.003	0.000	-0.076	0.000	IL
B.2.1	2.500	-0.000	0.000	0.004	0.000	-0.070	0.000	IL
B.2.1	3.000	-0.000	0.000	0.004	0.000	-0.062	0.000	IL
B.2.1	3.000	-0.000	0.000	0.004	0.000	-0.062	0.000	IL
B.2.1	3.500	-0.000	0.000	0.005	0.000	-0.053	0.000	IL
B.2.1	4.000	-0.000	0.000	0.005	0.000	-0.043	0.000	IL
B.2.1	4.000	-0.000	0.000	0.005	0.000	-0.043	0.000	IL
B.2.1	4.500	-0.000	0.000	0.005	0.000	-0.032	0.000	IL
B.2.1	5.000	-0.000	0.000	0.006	0.000	-0.022	0.000	IL
B.2.1	5.000	-0.000	0.000	0.006	0.000	-0.022	0.000	IL
B.2.1	5.500	-0.000	0.000	0.006	0.000	-0.011	0.000	IL
B.2.1	6.000	-0.000	0.000	0.006	0.000	0.000	0.000	IL
B.2.1	6.000	-0.000	0.000	0.006	0.000	-0.000	0.000	IL
B.2.1	6.500	0.000	0.000	0.006	0.000	0.011	0.000	IL
B.2.1	7.000	0.000	0.000	0.006	0.000	0.022	0.000	IL
B.2.1	7.000	0.000	0.000	0.006	0.000	0.022	0.000	IL
B.2.1	7.500	0.000	0.000	0.005	0.000	0.032	0.000	IL
B.2.1	8.000	0.000	0.000	0.005	0.000	0.043	0.000	IL
B.2.1	8.000	0.000	0.000	0.005	0.000	0.043	0.000	IL
B.2.1	8.500	0.000	0.000	0.005	0.000	0.053	0.000	IL
B.2.1	9.000	0.000	0.000	0.004	0.000	0.062	0.000	IL
B.2.1	9.000	0.000	0.000	0.004	0.000	0.062	0.000	IL
B.2.1	9.500	0.000	0.000	0.004	0.000	0.070	0.000	IL
B.2.1	10.000	0.000	0.000	0.003	0.000	0.076	0.000	IL
B.2.1	10.000	0.000	0.000	0.003	0.000	0.076	0.000	IL
B.2.1	10.500	0.000	0.000	0.002	0.000	0.080	0.000	IL
B.2.1	11.000	0.000	0.000	0.002	0.000	0.084	0.000	IL
B.2.1	11.000	0.000	0.000	0.002	0.000	0.084	0.000	IL
B.2.1	11.500	0.000	0.000	0.001	0.000	0.086	0.000	IL
B.2.1	12.000	0.000	0.000	0.000	0.000	0.087	0.000	IL
B.3.1	0.000	0.001	0.000	-0.002	0.000	-0.020	0.000	IL
B.3.1	0.280	0.001	0.000	-0.001	0.000	-0.020	0.000	IL
B.3.1	0.559	0.001	0.000	-0.001	0.000	-0.020	0.000	IL
B.3.1	0.839	0.001	0.000	-0.001	0.000	-0.020	0.000	IL
B.3.1	1.118	0.001	0.000	-0.001	0.000	-0.020	0.000	IL
